capital,ele,int_name,name,name:ar,name:bg,name:cs,name:de,name:el,name:en,name:es,name:fr,name:fur,name:hr,name:hu,name:it,name:kn,name:la,name:lt,name:mk,name:nl,name:pl,name:ru,name:sk,name:sl,name:sr,name:uk,name:zh,old_name,place,population,wikidata,wikipedia,wikipedia:sl,geometry,gfoss_id,old_name:de,loc_name:it,old_name:it,postal_code,alt_name:mk,loc_name,source,heritage,heritage:operator,heritage:website,ref:whc,whc:criteria,whc:description,whc:inscription_date,istat_id,name:azb,name:be,name:fa,name:hy,name:ka,name:pnb,name:pt,name:ur,short_name,website,name:vec
4,2,Trieste,Trieste,ترييستي,Триест,Terst,Triest,Τεργέστη,Trieste,Trieste,Trieste,Triest,Trst,Trieszt,Trieste,ಟ್ರೀಸ್ಟೆ,Tergeste,Triestas,Трст,Triëst,Triest,Триест,Terst,Trst,Трст,Трієст,的里雅斯特,Tergeste,city,204420,Q546,it:Trieste,Trst,POINT (13.7772781 45.6496485),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ronchi dei Legionari,,,,,,,,,Roncjis di Monfalcon,,,Ronchi dei Legionari,,,,,,,,,Ronke,,,,,town,11963,Q30029564,,,POINT (13.5018454 45.8278081),3824,Ronkis,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Monfalcone,,,,,,,,,Monfalcon,,,Monfalcone,,,,,,,,,Tržič,,,,,town,28258,Q53133,,,POINT (13.5330592 45.8049454),3820,Falkenberg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Opicina / Opčine,,,,,,,,,,,,Opicina,,,,,,,,,Opčine,,,,,town,8009,Q425566,it:Opicina,,POINT (13.7886438 45.6878017),,Optschinach,Opcina,Poggioreale del Carso,,,,,,,,,,,,,,,,,,,,,,,
,2,,Muggia / Milje,,,,Mulgs,,,,,Mugle,,,Muggia,,,,Миље,,,,,Milje,,,,,town,10929,Q16937,"sl:Milje, Italija",,POINT (13.7710497 45.5986173),,,,,,Муџа,Muja,,,,,,,,,,,,,,,,,,,,
,,,Grado,,,,,,,,,Grau,,,,,,Gradas,,,,Градо,,Gradež,,Градо,,,town,8251,Q53130,it:Grado (Italia),,POINT (13.3979091 45.6781065),3817,,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,
6,,,Gorizia,,,,Görz,,,,,Gurize,Gorica,,,,,Goricija,,,Gorycja,Гориция,,Gorica,,Горіція,戈里齐亚,,city,34844,Q6596,it:Gorizia,,POINT (13.6252288 45.9441278),3815,,,,,,Gurisa,,,,,,,,,,,,,,,,,,,,
,,,Cividale del Friuli,,,,Östrich,,,,,Cividât,,,Cividale del Friuli,,,,,,,,,Čedad,,,,,town,13844,,,,POINT (13.4303277 46.0936233),3697,,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,
,,,Tarvisio,,,,Tarvis,,,,,Tarvis,,,Tarvisio,,,,,,,,,Trbiž,,,,,town,5071,,,,POINT (13.5783734 46.5052624),3788,,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,
,,,Palmanova,,,,,,,,,Palme,,,,,,,,,,,,,,,,,town,5444,Q53302,it:Palmanova,,POINT (13.3099318 45.9054635),3741,,,,33057,,,,1,whc,https://whc.unesco.org/en/tentativelists/1154/,1154,(i)(iii)(iv),Fortress Town of Palmanova,2006-01-06,,,,,,,,,,,,
8,7,,Latisana,,,,,,,,,Tisane,,,,,,,,,,,,,,,,,town,8896,Q53269,it:Latisana,,POINT (12.9967006 45.7776908),,,,,,,Tisana,,,,,,,,,,,,,,,,,,,,
,,,Cervignano del Friuli,,,,,,,,,Çarvignan dal Friûl,,,Cervignano del Friuli,,,,,,,,,Červinjan,,,,,town,12421,,,,POINT (13.336382 45.8228339),3694,,,,,,Sarvignan,geodati.gfoss.it,,,,,,,,030023,,,,,,,,,,,
6,,,Udine,أوديني,,,Udine,Ούντινε,,Údine,,Udin,,,Udine,,Utinum,,,,,Удине,,Videm,Удине,,烏迪內,,city,99169,Q2790,,,POINT (13.2358377 46.0634632),3800,Weiden,,,,,,geodati.gfoss.it,,,,,,,,,اودینه,Удзінэ,اودینه,Ուդինե,უდინე,یوڈائن,Údine,اوڈین,,,
,,,Spilimbergo / Spilimberc,,,,,,,,,Spilimberc,,,Spilimbergo,,,,,,,,,,,,,,town,11087,,,,POINT (12.9016287 46.1113355),7549,,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,
,,,Gemona del Friuli,,,,,,,,,Glemone,,,Gemona del Friuli,,,,,,,,,Humin,,Джемона-дель-Фріулі,,,town,10964,Q53265,it:Gemona del Friuli,,POINT (13.1401049 46.2770072),3714,Klemaun,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,Gemona,http://www.gemonaweb.it,
,,,Codroipo / Codroip,,,,,,,,,Codroip,,,,,,,,,,,,,,,,,town,14421,,,,POINT (12.9789516 45.9611171),3698,,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,
,,,Tarcento,,,,,,,,,Tarcint,,,,,,,,,,,,Čenta,,,,,town,8716,Q53376,it:Tarcento,,POINT (13.2221061 46.2156457),3787,,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,
,,,San Daniele del Friuli,,,,,,,,,San Denêl,,,,,,,,,,,,,,,,,town,8013,,,,POINT (13.0090339 46.1532406),3770,,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,
,,,Tolmezzo / Tumieç,,,,,,,,,Tumieç,,,,,Tulmetium,,,,,,,Tolmeč,,,,,town,10440,,it:Tolmezzo,sl:Tolmeč,POINT (13.0158357 46.4053676),3792,Schönfeld,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,
,,,Azzano Decimo,,,,,,,,,Daçan di Pordenon,,,,,,,,,,,,,,,,,town,12880,,,,POINT (12.7143145 45.8814199),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,San Vito al Tagliamento / San Vît dal Tiliment,,,,,,,,,San Vît dal Tiliment,,,,,,,,,,,,,,,,,town,15078,,,,POINT (12.8565956 45.9145042),7546,,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,
6,,,Pordenone,,,,Portenau,Πορντενόνε,,,,Pordenon,,,,,Portus Naonis,,,,,Порденоне,,Pordenon,,,波代諾內,,city,51229,Q6606,en:Pordenone,,POINT (12.6597197 45.9562503),7538,,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,Pordenon
,,,Fontanafredda,,,,,,,,,,,,,,,,,,,,,,,,,,town,12195,,,,POINT (12.5691228 45.9733967),7528,,,,,,,ISTAT,,,,,,,,,,,,,,,,,,,
,,,Fiume Veneto,,,,,,,,,Vile di Flum,,,,,,,,,,,,,,,,,town,11677,,,,POINT (12.7321755 45.9279427),7527,,,,,,,ISTAT,,,,,,,,,,,,,,,,,,,
,,,Sacile,,,,,,,,,Sacîl,,,,,,,,,,,,,,,,,town,19837,Q53190,it:Sacile,,POINT (12.503368 45.95386),7542,,,,,,,local knowledge,,,,,,,,,,,,,,,,,,,
,,,Maniago / Manià,,,,,,,,,Manià,,,,,,,,,,,,,,,,,town,11708,,,,POINT (12.7073987 46.1709743),7530,,,,,,,geodati.gfoss.it,,,,,,,,,,,,,,,,,,,
